LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
3.06,49,13.77,13.77,14.14,14.64,14.78,14.91,14.91,14.91,17.33,18.15,19.18,20.27,22.99,23.48,21.25,22.19,25.33,25.90,25.90,25.90,24.81,22.12,17.24,23.28,27.17,27.90,28.73,19.99,16.00,20.98
3.13,50,13.89,13.89,14.25,14.76,14.89,15.02,15.02,15.02,17.44,18.26,19.30,20.38,23.11,23.59,21.37,22.30,25.44,26.01,26.01,26.01,25.14,22.31,17.45,23.50,27.38,28.11,28.84,20.20,16.10,21.30
3.19,51,13.99,13.99,14.36,14.86,14.99,15.13,15.13,15.13,17.55,18.37,19.40,20.49,23.21,23.69,21.47,22.41,25.55,26.11,26.11,26.11,25.46,22.49,17.66,23.70,27.59,28.32,28.94,20.41,16.19,21.60
3.25,52,14.10,14.10,14.47,14.97,15.11,15.24,15.24,15.24,17.66,18.48,19.52,20.60,23.32,23.81,21.59,22.52,25.66,26.23,26.23,26.23,25.80,22.68,17.87,23.92,27.80,28.53,29.05,20.63,16.29,21.91
3.31,53,14.48,14.48,14.91,15.54,15.66,15.83,15.83,15.83,18.30,19.25,20.47,21.14,23.81,24.31,22.84,23.84,26.95,27.54,27.54,27.54,26.12,22.86,18.08,24.12,28.01,28.74,29.15,20.83,16.38,22.21
3.38,54,14.59,14.59,15.02,15.66,15.78,15.94,15.94,15.94,18.41,19.37,20.59,21.25,23.92,24.43,22.96,23.96,27.06,27.65,27.65,27.65,26.45,23.05,18.29,24.34,28.22,28.95,29.26,21.05,18.28,22.53
3.44,55,14.69,14.69,15.13,15.76,15.88,16.05,16.05,16.05,18.52,19.47,20.69,21.36,24.03,24.53,23.06,24.06,27.17,27.75,27.75,27.75,26.77,23.23,18.50,24.54,28.43,29.16,29.36,21.25,18.37,22.83
3.50,56,14.80,14.80,15.23,15.87,15.98,16.15,16.15,16.15,18.62,19.57,20.79,21.46,24.13,24.63,23.16,24.17,27.27,27.86,27.86,27.86,27.09,23.41,18.70,24.75,28.63,29.36,29.46,21.46,18.46,23.13
3.56,57,14.91,14.91,15.35,15.98,16.10,16.26,16.26,16.26,18.74,19.69,20.91,21.57,24.25,24.75,23.28,24.28,27.39,27.97,27.97,27.97,27.42,23.60,18.91,24.96,28.85,29.57,29.58,21.68,18.56,23.44
3.63,58,15.02,15.02,15.45,16.08,16.20,16.37,16.37,16.37,18.84,19.79,21.01,21.68,24.35,24.85,23.38,24.38,27.49,28.07,28.07,28.07,27.74,23.78,19.12,25.17,29.05,29.78,29.68,21.88,18.65,23.75
3.69,59,15.13,15.13,15.56,16.20,16.32,16.48,16.48,16.48,18.95,19.91,21.12,21.79,24.46,24.97,23.50,24.50,27.60,28.19,28.19,28.19,28.08,23.97,19.33,25.38,29.27,29.99,29.79,22.10,18.75,24.06
3.75,60,15.23,15.23,15.67,16.30,16.42,16.59,16.59,16.59,19.06,20.01,21.23,21.90,24.57,25.07,23.60,24.60,27.71,28.29,28.29,28.29,28.40,24.15,19.54,25.58,29.47,30.20,29.89,22.30,18.84,24.36
3.81,61,15.35,15.35,15.78,16.42,16.53,16.70,16.70,16.70,19.17,20.12,21.34,22.01,24.68,25.18,23.71,24.72,27.82,28.41,28.41,28.41,28.73,24.34,19.75,25.80,29.68,30.41,30.00,22.52,18.94,24.67
3.88,62,15.45,15.45,15.89,16.52,16.64,16.80,16.80,16.80,19.28,20.23,21.45,22.11,24.79,25.29,23.82,24.82,27.93,28.51,28.51,28.51,29.05,24.52,19.96,26.00,29.89,30.62,30.10,22.73,19.03,24.97
3.94,63,15.57,15.57,16.00,16.63,16.75,16.92,16.92,16.92,19.39,20.34,21.56,22.23,24.90,25.40,23.93,24.93,28.04,28.62,28.62,28.62,29.38,24.71,20.17,26.22,30.10,30.83,30.21,22.94,19.13,25.29
4.00,64,15.67,15.67,16.10,16.74,16.85,17.02,17.02,17.02,19.49,20.45,21.66,22.33,25.00,25.51,24.04,25.04,28.14,28.73,28.73,28.73,29.70,24.89,20.38,26.42,30.31,31.04,30.32,23.15,19.22,25.59
4.06,65,15.77,15.77,16.21,16.84,16.96,17.13,17.13,17.13,19.60,20.55,21.77,22.44,25.11,25.61,24.14,25.14,28.25,28.83,28.83,28.83,30.02,25.07,20.58,26.63,30.51,31.24,34.49,23.35,19.31,25.89
4.13,66,15.89,15.89,16.32,16.96,17.07,17.24,17.24,17.24,19.71,20.66,21.88,22.55,25.22,25.72,24.25,25.26,28.36,28.95,28.95,28.95,30.36,25.26,20.80,26.84,30.73,31.46,34.60,23.57,19.41,26.20
4.19,67,15.99,15.99,16.42,17.06,17.18,17.34,17.34,17.34,19.81,20.77,21.99,22.65,25.33,25.83,24.36,25.36,28.47,29.05,29.05,29.05,30.68,25.44,21.00,27.05,30.93,31.66,34.70,23.78,19.50,26.51
4.25,68,16.10,16.10,16.54,17.17,17.29,17.46,17.46,17.46,19.93,20.88,22.10,22.77,25.44,25.94,24.47,25.47,28.58,29.16,29.16,29.16,31.01,25.63,21.21,27.26,31.15,31.87,34.81,23.99,19.60,26.82
4.31,69,16.21,16.21,16.64,17.28,17.39,17.56,17.56,17.56,20.03,20.98,22.20,22.87,25.54,26.04,24.58,25.58,28.68,29.27,29.27,29.27,31.33,25.81,21.42,27.47,31.35,32.08,34.91,24.20,19.69,27.12
4.40,70.4,16.41,16.41,16.85,17.48,17.60,17.77,17.77,17.77,20.24,21.19,22.41,23.08,25.75,26.25,24.78,25.78,28.89,29.47,29.47,29.47,31.84,26.12,21.77,27.81,31.70,32.43,35.11,24.55,19.87,27.60
5.00,80,17.81,17.81,18.26,18.96,19.09,19.29,19.29,19.29,22.07,22.85,24.40,25.29,28.38,28.91,26.81,28.10,32.29,32.95,32.95,32.95,34.97,29.07,23.78,29.82,33.71,34.44,36.13,26.73,24.34,30.55
6.00,96,19.81,19.81,20.31,21.11,21.24,21.44,21.44,21.44,24.30,25.14,26.77,27.66,30.85,31.40,29.59,30.96,35.27,35.97,35.97,35.97,40.19,32.02,27.12,33.16,37.05,37.78,40.84,30.10,29.41,35.46
7.00,112,21.81,21.81,22.36,23.26,23.39,23.59,23.59,23.59,26.53,27.42,29.14,30.02,33.31,33.88,32.38,33.83,38.26,38.99,38.99,38.99,45.40,34.97,30.46,36.51,40.39,41.12,45.40,33.62,34.48,40.36
8.00,128,23.81,23.81,24.41,25.41,25.54,25.74,25.74,25.74,28.77,29.70,31.51,32.39,35.78,36.37,35.16,36.70,41.24,42.01,42.01,42.01,50.61,37.91,33.80,39.85,43.73,44.46,49.95,36.99,39.54,45.27
9.00,144,25.81,25.81,26.46,27.56,27.69,27.89,27.89,27.89,31.00,31.99,33.87,34.76,38.25,38.85,37.95,39.57,44.23,45.03,45.03,45.03,55.82,40.86,37.15,43.19,47.08,47.81,54.20,40.51,44.61,50.18
10.00,160,27.81,27.81,28.51,29.71,29.84,30.04,30.04,30.04,33.23,34.27,36.24,37.13,40.72,41.33,40.73,42.44,47.21,48.05,48.05,48.05,61.04,43.81,40.49,46.53,50.42,51.15,55.90,43.88,49.68,55.08
11.00,176,29.54,29.54,30.24,31.44,31.58,31.78,31.78,31.78,34.97,36.00,37.97,38.86,42.45,43.07,42.47,44.17,48.94,49.78,49.78,49.78,66.25,46.76,43.83,49.88,53.76,54.49,60.60,47.24,51.19,59.99
