LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20,AU,DE,GB-1,GB-2,GB-3,GB-4,JP,KR,MX,NZ
2.44,39,12.88,12.88,13.25,13.75,13.88,14.02,14.02,14.02,16.44,17.26,18.29,19.38,22.10,22.58,20.36,21.30,24.44,25.00,25.00,25.00,25.13,20.02,14.72,20.77,24.65,25.38,25.03,17.22,15.06,20.03
2.50,40,13.00,13.00,13.37,13.87,14.00,14.13,14.13,14.13,16.56,17.37,18.41,19.49,22.22,22.70,20.48,21.42,24.55,25.12,25.12,25.12,25.54,20.20,14.92,20.97,24.86,25.58,25.15,17.42,15.16,20.39
2.56,41,13.11,13.11,13.47,13.98,14.11,14.24,14.24,14.24,16.66,17.48,18.52,19.60,22.33,22.81,20.59,21.52,24.66,25.23,25.23,25.23,25.94,20.37,15.12,21.16,25.05,25.78,25.25,17.61,15.25,20.74
2.63,42,13.22,13.22,13.58,14.08,14.22,14.35,14.35,14.35,16.77,17.59,18.63,19.71,22.43,22.92,20.70,21.63,24.77,25.34,25.34,25.34,26.34,20.54,15.31,21.36,25.24,25.97,25.35,17.80,15.34,21.09
2.69,43,13.33,13.33,13.70,14.20,14.34,14.47,14.47,14.47,16.89,17.71,18.75,19.83,22.55,23.04,20.82,21.75,24.89,25.46,25.46,25.46,26.75,20.72,15.51,21.56,25.45,26.17,25.46,18.00,15.44,21.45
2.75,44,13.44,13.44,13.81,14.31,14.45,14.58,14.58,14.58,17.00,17.82,18.85,19.94,22.66,23.15,20.92,21.86,25.00,25.57,25.57,25.57,27.15,20.89,15.71,21.75,25.64,26.37,25.56,18.19,15.53,21.80
2.81,45,13.56,13.56,13.93,14.43,14.56,14.70,14.70,14.70,17.12,17.94,18.97,20.06,22.78,23.26,21.04,21.98,25.12,25.69,25.69,25.69,27.56,21.07,15.91,21.96,25.84,26.57,25.67,18.38,15.63,22.16
2.88,46,13.67,13.67,14.04,14.54,14.67,14.81,14.81,14.81,17.23,18.05,19.08,20.17,22.89,23.37,21.15,22.09,25.23,25.79,25.79,25.79,27.96,21.23,16.10,22.15,26.04,26.76,25.77,18.57,15.72,22.51
2.94,47,13.79,13.79,14.16,14.66,14.79,14.92,14.92,14.92,17.35,18.16,19.20,20.29,23.01,23.49,21.27,22.21,25.35,25.91,25.91,25.91,28.37,21.41,16.31,22.35,26.24,26.97,25.88,18.77,15.82,22.86
3.00,48,13.90,13.90,14.27,14.77,14.90,15.03,15.03,15.03,17.45,18.27,19.31,20.39,23.12,23.60,21.38,22.31,25.45,26.02,26.02,26.02,28.77,21.58,16.50,22.55,26.43,27.16,25.99,18.96,15.91,23.21
3.06,49,14.01,14.01,14.37,14.87,15.01,15.14,15.14,15.14,17.56,18.38,19.42,20.50,23.22,23.71,21.49,22.42,25.56,26.13,26.13,26.13,29.17,21.75,16.69,22.74,26.63,27.35,28.73,19.15,16.00,23.56
3.13,50,14.13,14.13,14.49,14.99,15.13,15.26,15.26,15.26,17.68,18.50,19.54,20.62,23.34,23.83,21.61,22.54,25.68,26.25,26.25,26.25,29.59,21.93,16.90,22.94,26.83,27.56,28.84,19.35,16.10,23.92
3.19,51,14.23,14.23,14.60,15.10,15.24,15.37,15.37,15.37,17.79,18.61,19.64,20.73,23.45,23.94,21.72,22.65,25.79,26.36,26.36,26.36,29.99,22.10,17.09,23.14,27.02,27.75,28.94,19.54,16.19,24.27
3.25,52,14.35,14.35,14.72,15.22,15.35,15.49,15.49,15.49,17.91,18.73,19.76,20.85,23.57,24.06,21.83,22.77,25.91,26.48,26.48,26.48,30.40,22.27,17.29,23.34,27.23,27.95,29.05,19.74,16.29,24.63
3.31,53,14.73,14.73,15.16,15.80,15.91,16.08,16.08,16.08,18.55,19.50,20.72,21.39,24.06,24.56,23.09,24.10,27.20,27.79,27.79,27.79,30.80,22.44,17.49,23.53,27.42,28.15,29.15,19.93,16.38,24.98
3.38,54,14.85,14.85,15.28,15.92,16.03,16.20,16.20,16.20,18.67,19.62,20.84,21.51,24.18,24.68,23.21,24.22,27.32,27.91,27.91,27.91,31.21,22.62,17.69,23.74,27.62,28.35,29.26,20.13,18.28,25.34
3.44,55,14.96,14.96,15.39,16.02,16.14,16.31,16.31,16.31,18.78,19.73,20.95,21.62,24.29,24.79,23.32,24.32,27.43,28.01,28.01,28.01,31.61,22.79,17.88,23.93,27.82,28.55,29.36,20.31,18.37,25.69
3.50,56,15.06,15.06,15.50,16.13,16.25,16.42,16.42,16.42,18.89,19.84,21.06,21.73,24.40,24.90,23.43,24.43,27.54,28.12,28.12,28.12,32.01,22.96,18.08,24.12,28.01,28.74,29.46,20.50,18.46,26.04
3.56,57,15.18,15.18,15.62,16.25,16.37,16.54,16.54,16.54,19.01,19.96,21.18,21.85,24.52,25.02,23.55,24.55,27.66,28.24,28.24,28.24,32.42,23.14,18.28,24.33,28.21,28.94,29.58,20.70,18.56,26.40
3.63,58,15.29,15.29,15.73,16.36,16.48,16.64,16.64,16.64,19.12,20.07,21.29,21.95,24.63,25.13,23.66,24.66,27.77,28.35,28.35,28.35,32.82,23.31,18.48,24.52,28.41,29.14,29.68,20.89,18.65,26.75
3.69,59,15.41,15.41,15.84,16.48,16.60,16.76,16.76,16.76,19.23,20.19,21.41,22.07,24.75,25.25,23.78,24.78,27.89,28.47,28.47,28.47,33.23,23.48,18.68,24.73,28.61,29.34,29.79,21.09,18.75,27.11
3.75,60,15.52,15.52,15.95,16.59,16.70,16.87,16.87,16.87,19.34,20.30,21.51,22.18,24.85,25.36,23.89,24.89,27.99,28.58,28.58,28.58,33.64,23.65,18.87,24.92,28.80,29.53,29.89,21.28,18.84,27.46
3.81,61,15.64,15.64,16.07,16.71,16.82,16.99,16.99,16.99,19.46,20.41,21.63,22.30,24.97,25.47,24.00,25.01,28.11,28.70,28.70,28.70,34.05,23.83,19.08,25.12,29.01,29.74,30.00,21.48,18.94,27.81
3.88,62,15.75,15.75,16.18,16.82,16.93,17.10,17.10,17.10,19.57,20.52,21.74,22.41,25.08,25.58,24.11,25.11,28.22,28.81,28.81,28.81,34.45,24.00,19.27,25.32,29.20,29.93,30.10,21.67,19.03,28.16
3.94,63,15.87,15.87,16.30,16.93,17.05,17.22,17.22,17.22,19.69,20.64,21.86,22.53,25.20,25.70,24.23,25.23,28.34,28.92,28.92,28.92,34.86,24.18,19.47,25.52,29.40,30.13,30.21,21.87,19.13,28.52
4.00,64,15.97,15.97,16.41,17.04,17.16,17.33,17.33,17.33,19.80,20.75,21.97,22.64,25.31,25.81,24.34,25.34,28.45,29.03,29.03,29.03,35.26,24.35,19.67,25.71,29.60,30.33,30.32,22.05,19.22,28.87
4.06,65,16.08,16.08,16.52,17.15,17.27,17.44,17.44,17.44,19.91,20.86,22.08,22.75,25.42,25.92,24.45,25.45,28.56,29.14,29.14,29.14,35.66,24.52,19.86,25.91,29.79,30.52,34.49,22.24,19.31,29.22
4.13,66,16.20,16.20,16.64,17.27,17.39,17.55,17.55,17.55,20.03,20.98,22.20,22.86,25.54,26.04,24.57,25.57,28.68,29.26,29.26,29.26,36.07,24.69,20.06,26.11,29.99,30.72,34.60,22.44,19.41,29.58
4.19,67,16.31,16.31,16.74,17.38,17.50,17.66,17.66,17.66,20.13,21.09,22.31,22.97,25.64,26.15,24.68,25.68,28.78,29.37,29.37,29.37,36.47,24.86,20.26,26.30,30.19,30.92,34.70,22.63,19.50,29.93
4.25,68,16.43,16.43,16.86,17.50,17.61,17.78,17.78,17.78,20.25,21.20,22.42,23.09,25.76,26.26,24.80,25.80,28.90,29.49,29.49,29.49,36.88,25.04,20.46,26.51,30.39,31.12,34.81,22.83,19.60,30.29
4.31,69,16.54,16.54,16.97,17.61,17.72,17.89,17.89,17.89,20.36,21.31,22.53,23.20,25.87,26.37,24.90,25.91,29.01,29.60,29.60,29.60,37.28,25.21,20.65,26.70,30.58,31.31,34.91,23.02,19.69,30.64
