LBS,OZ,CA-1,CA-2,CA-3,CA-4,CA-5,CA-6,CA-7,CA-8,CA-9,CA-10,CA-11,CA-12,CA-13,CA-14,CA-15,CA-16,CA-17,CA-18,CA-19,CA-20
51.00,816,135.49,135.49,139.02,142.26,142.44,142.63,142.63,142.63,150.23,155.34,226.99,236.84,262.65,268.06,319.11,341.37,387.80,395.22,395.22,395.22
52.00,832,137.67,137.67,141.18,144.44,144.62,144.81,144.81,144.81,152.57,157.68,230.42,240.46,266.53,272.01,324.13,346.73,393.89,401.43,401.43,401.43
53.00,848,139.85,139.85,143.34,146.62,146.79,146.99,146.99,146.99,154.91,160.02,233.84,244.08,270.40,275.97,329.15,352.08,399.97,407.63,407.63,407.63
54.00,864,142.03,142.03,145.50,148.80,148.97,149.17,149.17,149.17,157.24,162.35,237.26,247.70,274.28,279.92,334.17,357.44,406.06,413.84,413.84,413.84
55.00,880,143.89,143.89,147.36,150.66,150.84,151.03,151.03,151.03,159.10,164.22,239.12,249.56,276.14,281.79,336.03,359.30,407.92,415.70,415.70,415.70
56.00,896,146.07,146.07,149.52,152.84,153.02,153.21,153.21,153.21,161.44,166.55,242.55,253.18,280.02,285.74,341.06,364.66,414.01,421.90,421.90,421.90
57.00,912,148.25,148.25,151.68,155.02,155.19,155.39,155.39,155.39,163.78,168.89,245.97,256.80,283.90,289.70,346.08,370.01,420.10,428.11,428.11,428.11
58.00,928,150.43,150.43,153.84,157.20,157.37,157.57,157.57,157.57,166.11,171.23,249.39,260.42,287.77,293.65,351.10,375.37,426.18,434.31,434.31,434.31
59.00,944,152.61,152.61,156.00,159.37,159.55,159.75,159.75,159.75,168.45,173.56,252.81,264.04,291.65,297.61,356.12,380.72,432.27,440.52,440.52,440.52
60.00,960,154.78,154.78,158.16,161.55,161.73,161.93,161.93,161.93,170.79,175.90,256.23,267.66,295.52,301.56,361.14,386.08,438.35,446.72,446.72,446.72
61.00,976,156.96,156.96,160.32,163.73,163.91,164.11,164.11,164.11,173.12,178.24,259.66,271.28,299.40,305.52,366.16,391.44,444.44,452.92,452.92,452.92
62.00,992,159.14,159.14,162.48,165.91,166.09,166.29,166.29,166.29,175.46,180.57,263.08,274.90,303.27,309.47,371.18,396.79,450.53,459.13,459.13,459.13
63.00,1008,161.32,161.32,164.64,168.09,168.27,168.46,168.46,168.46,177.80,182.91,266.50,278.52,307.15,313.43,376.20,402.15,456.61,465.33,465.33,465.33
64.00,1024,163.50,163.50,166.80,170.27,170.45,170.64,170.64,170.64,180.13,185.25,269.92,282.14,311.03,317.38,381.22,407.50,462.70,471.54,471.54,471.54
65.00,1040,165.68,165.68,168.95,172.45,172.62,172.82,172.82,172.82,182.47,187.58,273.34,285.76,314.90,321.34,386.24,412.86,468.78,477.74,477.74,477.74
66.00,1056,167.54,167.54,170.82,174.31,174.49,174.68,174.68,174.68,184.33,189.45,275.21,287.62,316.77,323.20,388.10,414.72,470.65,479.61,479.61,479.61
